Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2010-03-30,ILandFS Trans,700.0,52.61,39.39,4.56,258,287.0,253.68,11.24031008,5.17,No,No
2010-03-29,DQ Entertain,128.38,93.86,272.88,19.45,80,135.0,108.55,68.75,1.03,No,No
2010-03-18,United Bank,330.0,47.08,39.15,9.8,66,77.0,68.8,16.66666667,4.48,No,No
2010-03-11,Man Infra,142.0,96.06,104.57,10.26,252,335.0,46.43,32.93650794,112.05,No,No
2010-03-10,Texmo Pipes,45.0,1.02,30.5,7.26,90,92.8,137.25,3.111111111,78.8,No,No
2010-03-03,ARSS Infra,103.0,49.34,124.53,18.55,450,640.0,736.3,42.22222222,31.95,No,No
2010-02-25,Hathway Cable,735.4,1.43,4.29,0.28,240,246.0,41.56,2.5,19.6,No,No
2010-02-24,DB Realty,1500.0,1.35,1.21,0.01,468,452.1,455.4,-3.397435897,107.6,No,No
2010-02-24,Emmbi Ind,43.08,0.43,5.55,0.46,45,46.0,28.65,2.222222222,101.45,Yes,No
2010-02-23,Aqua Logistics,150.0,0.26,5.07,3.0,220,225.0,24.46,2.272727273,1.4,No,No
2010-02-15,Syncom Health,56.25,0.99,16.6,6.25,75,88.0,87.85,17.33333333,4.06,No,No
2010-02-15,Vascon Engineer,199.8,1.12,3.65,0.62,165,155.9,146.38,-5.515151515,26.5,No,No
2010-02-03,Infinite Comp,189.8,48.44,106.02,11.08,165,178.35,184.51,8.090909091,473.75,Yes,No
