Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2021-02-05,Stove Kraft,412.63,8.02,32.72,26.04,385,498.0,445.95,29.35064935,669.85,Yes,No
2021-02-03,Home First,1153.72,52.53,39.0,6.59,518,612.15,527.4,18.17567568,718.1,Yes,No
2021-01-29,IRFC,4633.0,0.89,0.52,1.59,26,25.0,24.85,-3.846153846,22.25,No,Yes
2021-01-01,Antony Waste,300.53,0.64,0.28,7.22,315,430.0,407.25,36.50793651,292.0,No,No
2020-12-24,Bectors Food,540.54,176.85,620.86,29.33,288,501.0,595.55,73.95833333,338.5,Yes,No
2020-12-14,Restaurant Bran,796.5,86.64,354.11,68.15,60,115.35,138.4,92.25,127.65,Yes,No
2020-11-02,Equitas Bank,517.6,3.91,0.22,2.08,33,31.0,32.75,-6.060606061,53.45,Yes,No
2020-10-12,UTI AMC,2159.88,3.34,0.93,2.32,554,476.2,476.6,-14.0433213,825.55,Yes,Yes
2020-10-12,Mazagon Dock,443.69,89.71,678.88,35.63,145,216.25,173.0,49.13793103,253.0,Yes,No
2020-10-01,Chemcon Special,318.0,113.54,449.14,41.21,340,731.0,584.8,115.0,316.35,No,No
2020-03-16,SBI Card,10286.2,57.18,45.23,2.5,755,658.0,683.2,-12.84768212,826.9,Yes,Yes
2019-12-30,Prince Pipes,500.0,3.54,1.21,1.89,178,160.0,166.6,-10.11235955,670.5,Yes,No
2019-12-12,Ujjivan Small,750.0,110.72,473.0,49.09,37,58.75,55.9,58.78378378,17.9,No,No
2019-12-04,CSB Bank,409.68,38.85,45.49,9.01,195,275.0,300.1,41.02564103,234.1,Yes,No
2019-10-14,IRCTC,635.04,108.79,354.52,14.94,320,644.0,145.72,101.25,816.3,Yes,No
2019-08-20,Sterling Wilson,3125.0,1.02,0.89,0.3,780,700.0,725.35,-10.25641026,347.3,No,Yes
2019-04-11,Rail Vikas,430.88,1.36,0.8,2.92,19,19.0,19.05,0.0,33.15,Yes,No
2019-04-01,Embassy Office,4750.0,2.15,3.09,0.31,300,300.0,314.1,0.0,381.46,Yes,Yes
2019-03-29,MSTC,213.81,1.13,2.15,2.95,128,111.0,114.2,-13.28125,341.85,Yes,No
2019-02-07,Chalet Hotels,1628.84,4.66,1.1,0.03,280,291.0,290.4,3.928571429,252.0,No,No
2019-02-04,Xelpmoc Design ,23.0,1.24,7.69,2.64,66,56.0,58.8,-15.15151515,306.65,Yes,No
2018-08-23,CreditAccess Gr,1126.44,5.52,0.98,0.88,422,393.0,420.8,-6.872037915,703.15,Yes,No
2018-07-30,TCNS Clothing C,1121.98,13.47,5.08,0.67,716,715.0,657.8,-0.139664804,678.0,No,No
2018-07-02,RITES,453.6,71.72,194.56,15.74,185,190.0,170.16,2.702702703,250.7,Yes,No
2018-05-21,Indostar Capita,1844.0,16.08,6.91,1.48,572,600.6,585.5,5.0,240.5,No,No
2018-04-05,ICICI Securitie,4016.0,0.54,0.05,0.39,520,435.0,444.9,-16.34615385,695.35,Yes,Yes
2018-04-04,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,100,93.1,90.0,-6.9,175.45,0,No
2018-03-27,Bandhan Bank,4473.0,38.67,13.89,1.2,375,485.0,477.2,29.33333333,319.1,No,Yes
2018-03-23,Bharat Dynamics,960.94,1.5,0.5,1.41,428,360.0,390.7,-15.88785047,470.2,Yes,No
2018-03-09,HG Infra Engg,457.7,8.37,4.97,3.08,270,270.0,270.05,0.0,610.1,Yes,No
2018-02-26,Aster DM Health,980.14,2.1,0.55,1.18,190,182.0,179.85,-4.210526316,189.4,No,No
